e0,e1,e2,e4,e5,e6,e9,e10,e11,e15,e18,e21,e22,e23
1,76.0,86.0,90.0,83.0,81.0,89.0,77.0,87.0,87.0,85.0,76.0,78.0,83
2,100.0,100.0,100.0,97.0,97.0,100.0,99.0,100.0,98.0,94.0,100.0,93.0,87
4,100.0,85.0,97.0,87.0,86.0,100.0,100.0,100.0,100.0,100.0,82.0,70.0,96
5,70.0,69.0,84.0,88.0,86.0,56.0,57.0,62.0,80.0,71.0,76.0,92.0,84
6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,61
7,100.0,100.0,100.0,82.0,100.0,100.0,100.0,100.0,70.0,99.0,99.0,69.0,100
8,97.0,84.0,100.0,100.0,100.0,96.0,96.0,88.0,100.0,100.0,92.0,98.0,90
9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
11,100.0,100.0,100.0,93.0,84.0,100.0,100.0,100.0,73.0,89.0,97.0,82.0,96
12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,95
13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.0,100.0,100.0,54.0,100
14,100.0,100.0,100.0,62.0,54.0,100.0,100.0,66.0,72.0,100.0,68.0,59.0,100
15,100.0,92.0,86.0,64.0,70.0,83.0,82.0,77.0,76.0,70.0,72.0,63.0,63
16,78.0,79.0,99.0,78.0,89.0,100.0,100.0,100.0,70.0,87.0,99.0,42.0,88
18,87.0,82.0,85.0,79.0,77.0,98.0,78.0,80.0,71.0,78.0,66.0,84.0,64
19,96.0,91.0,61.0,83.0,56.0,88.0,65.0,57.0,63.0,65.0,78.0,67.0,70
20,51.0,49.0,84.0,51.0,78.0,50.0,51.0,50.0,38.0,83.0,50.0,30.0,73
21,78.0,82.0,83.0,57.0,60.0,84.0,58.0,77.0,85.0,66.0,64.0,71.0,92
22,100.0,100.0,100.0,76.0,84.0,100.0,100.0,81.0,66.0,84.0,90.0,61.0,85
23,98.0,51.0,97.0,97.0,98.0,99.0,98.0,97.0,98.0,92.0,98.0,96.0,97
24,95.0,95.0,97.0,89.0,85.0,98.0,94.0,90.0,91.0,95.0,89.0,65.0,85
25,79.0,96.0,98.0,99.0,100.0,100.0,93.0,100.0,100.0,99.0,97.0,95.0,100
26,92.0,91.0,94.0,77.0,85.0,90.0,91.0,84.0,92.0,88.0,87.0,91.0,84
27,54.0,52.0,54.0,89.0,85.0,69.0,75.0,76.0,79.0,80.0,50.0,51.0,50
28,66.0,77.0,56.0,53.0,53.0,78.0,81.0,87.0,66.0,83.0,76.0,63.0,50
29,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,52.0,100.0,100.0,72
30,91.0,94.0,85.0,79.0,83.0,100.0,100.0,100.0,96.0,100.0,91.0,52.0,86
32,73.0,81.0,82.0,74.0,80.0,85.0,87.0,83.0,87.0,85.0,82.0,78.0,73
33,100.0,100.0,100.0,32.0,100.0,82.0,67.0,71.0,70.0,65.0,80.0,21.0,73
34,95.0,93.0,87.0,99.0,95.0,100.0,95.0,96.0,91.0,98.0,95.0,100.0,82
35,82.0,100.0,84.0,79.0,83.0,94.0,97.0,95.0,95.0,94.0,71.0,88.0,80
36,100.0,100.0,100.0,71.0,73.0,100.0,100.0,70.0,1.0,100.0,77.0,1.0,63
37,75.0,100.0,95.0,94.0,97.0,100.0,100.0,100.0,78.0,100.0,83.0,50.0,41
38,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,92.0,92.0,87
39,94.0,96.0,96.0,93.0,97.0,99.0,94.0,80.0,76.0,91.0,93.0,100.0,68
40,97.0,100.0,100.0,90.0,94.0,100.0,100.0,100.0,50.0,96.0,91.0,20.0,45
